,_Index,relation_num,active_level
354,354,1616,2
355,355,1628,2
356,356,1668,2
357,357,1638,2
358,358,1624,2
359,359,1626,2
360,360,1668,2
361,361,1610,2
362,362,1666,2
363,363,1660,2
364,364,1624,2
365,365,1636,2
366,366,1628,2
367,367,1630,2
368,368,1620,2
369,369,1608,2
370,370,1632,2
371,371,1614,2
372,372,1650,2
373,373,1612,2
374,374,1644,2
375,375,1658,2
376,376,1622,2
377,377,1654,2
378,378,1638,2
379,379,1652,2
380,380,1632,2
381,381,1626,2
382,382,1626,2
383,383,1656,2
384,384,1668,2
385,385,1650,2
386,386,1640,2
387,387,1656,2
388,388,1620,2
389,389,1612,2
390,390,1638,2
391,391,1636,2
392,392,1644,2
393,393,1626,2
394,394,1606,2
395,395,1634,2
396,396,1636,2
397,397,1632,2
398,398,1626,2
399,399,1634,2
400,400,1628,2
401,401,1644,2
402,402,1630,2
403,403,1626,2
404,404,1610,2
405,405,1648,2
406,406,1632,2
407,407,1626,2
408,408,1650,2
409,409,1642,2
410,410,1616,2
411,411,1606,2
412,412,1646,2
413,413,1626,2
414,414,1646,2
415,415,1658,2
416,416,1640,2
417,417,1644,2
418,418,1640,2
419,419,1638,2
420,420,1632,2
421,421,1610,2
422,422,1638,2
423,423,1602,2
424,424,1668,2
425,425,1630,2
426,426,1634,2
427,427,1636,2
428,428,1658,2
429,429,1650,2
430,430,1654,2
431,431,1668,2
432,432,1620,2
433,433,1618,2
434,434,1652,2
435,435,1678,2
436,436,1624,2
437,437,1644,2
438,438,1632,2
439,439,1620,2
440,440,1642,2
441,441,1666,2
442,442,1646,2
443,443,1658,2
444,444,1648,2
445,445,1628,2
446,446,1634,2
447,447,1650,2
448,448,1630,2
449,449,1620,2
450,450,1652,2
451,451,1630,2
452,452,1662,2
453,453,1602,2
454,454,1646,2
455,455,1604,2
456,456,1654,2
457,457,1654,2
458,458,1646,2
459,459,1638,2
460,460,1620,2
461,461,1646,2
462,462,1640,2
463,463,1636,2
464,464,1628,2
465,465,1622,2
466,466,1624,2
467,467,1648,2
468,468,1642,2
469,469,1622,2
470,470,1644,2
471,471,1630,2
472,472,1656,2
473,473,1604,2
474,474,1614,2
475,475,1612,2
476,476,1630,2
477,477,1656,2
478,478,1632,2
479,479,1634,2
480,480,1630,2
481,481,1628,2
482,482,1652,2
483,483,1614,2
484,484,1638,2
485,485,1654,2
486,486,1644,2
487,487,1646,2
488,488,1648,2
489,489,1646,2
490,490,1648,2
491,491,1652,2
492,492,1628,2
493,493,1620,2
494,494,1614,2
495,495,1648,2
496,496,1624,2
497,497,1628,2
498,498,1642,2
499,499,1664,2
500,500,1654,2
501,501,1656,2
502,502,1622,2
503,503,1614,2
504,504,1624,2
505,505,1598,2
506,506,1536,2
507,507,1534,2
508,508,1544,2
509,509,1496,2
510,510,1522,2
511,511,1492,2
512,512,1504,2
513,513,1474,2
514,514,1462,2
515,515,1462,2
516,516,1428,2
517,517,1438,2
518,518,1416,2
519,519,1378,2
520,520,1384,2
521,521,1374,2
522,522,1340,2
523,523,1356,2
524,524,1350,2
525,525,1336,2
526,526,1334,2
527,527,1330,2
528,528,1296,2
529,529,1276,2
530,530,1294,2
531,531,1274,2
532,532,1256,2
533,533,1250,2
534,534,1256,2
535,535,1230,1
536,536,1220,1
537,537,1220,1
538,538,1192,1
539,539,1188,1
540,540,1196,1
541,541,1210,1
542,542,1168,1
543,543,1178,1
544,544,1154,1
545,545,1144,1
546,546,1158,1
547,547,1132,1
548,548,1122,1
549,549,1126,1
550,550,1112,1
551,551,1112,1
552,552,1128,1
553,553,1110,1
554,554,1112,1
555,555,1142,1
556,556,1106,1
557,557,1100,1
558,558,1114,1
559,559,1108,1
560,560,1116,1
561,561,1132,1
562,562,1118,1
563,563,1126,1
564,564,1142,1
